cores, oned, clps, span, diy2d, kokkos, 
1, 1.0, 4.988325471698113, 25.6561320754717, 5.2625, 1.6745283018867925, 
5, 1.0, 4.877950489349453, 25.314047207829592, 5.381404720782959, 1.8943580886586069, 
11, 1.0, 4.528789659224442, 23.46298472385429, 5.095769682726204, 2.155111633372503, 
16, 1.0, 4.119565217391305, 21.434006211180126, 4.579192546583851, 2.472826086956522, 
22, 1.0, 3.444642857142857, 17.883035714285715, 3.825892857142857, 2.6053571428571427, 
28, 1.0, 2.884980988593156, 14.977186311787072, 3.2338403041825097, 2.723384030418251, 
33, 1.0, 2.436140018921476, 12.767265846736045, 2.8211920529801326, 2.6830652790917693, 
39, 1.0, 2.0420954162768945, 10.681010289990645, 2.518241347053321, 2.735266604303087, 
44, 1.0, 1.9012707722385143, 9.873900293255131, 2.563049853372434, 2.929618768328446, 
50, 1.0, 1.7216796875, 8.666015625, 2.53125, 2.9482421875, 
56, 1.0, 1.5992217898832686, 7.720817120622568, 2.507782101167315, 2.940661478599222, 
