cores, skx, csx, icx, spr, 
1, 1.0, 1.0, 1.0, 1.0, 
4, 3.994225672093904, 4.956115821757171, 6.385425442291491, 10.919002473206925, 
9, 8.978296333073267, 10.906898263027296, 15.790625, 21.82001647446458, 
14, 13.934940554821665, 15.847562734352467, 23.50232558139535, 32.582410824108244, 
19, 18.896103896103895, 21.691077773391235, 31.11133914828117, 43.354337152209496, 
24, 23.821038765525028, 26.85410557184751, 30.873727087576373, 54.786970010341264, 
28, 13.94415069398546, 30.858466722830666, 18.66297322253001, 33.17407639323732, 
33, 15.418392204628502, 38.049515235457065, 22.659192825112108, 34.946569920844325, 
38, 18.882010739856803, 42.941383352872215, 25.9017513882956, 43.748142031379025, 
43, 21.196416610850637, 47.694010416666664, 31.35263702171665, 49.10009267840593, 
48, 22.372746553552492, 14.692739671079021, 31.630672926447573, 45.514604810996566, 
