cores, oned, clps, span, iota, kokkos, sycl, 
1, 1.0, 4.559898660875859, 14.981541802388708, 0.998371335504886, 1.8127035830618892, 2.6326456749909517, 
11, 1.0, 4.578, 15.442, 1.65, 2.466, 2.944, 
22, 1.0, 4.529644268774703, 15.351778656126482, 2.2292490118577075, 3.3794466403162056, 3.2648221343873516, 
33, 1.0, 4.436046511627907, 15.412790697674419, 2.494186046511628, 3.604651162790698, 3.383720930232558, 
44, 1.0, 4.441860465116279, 15.65891472868217, 2.7286821705426356, 5.069767441860465, 3.612403100775194, 
56, 1.0, 4.304761904761905, 15.085714285714285, 3.057142857142857, 5.285714285714286, 3.619047619047619, 
67, 1.0, 4.2, 14.833333333333334, 3.5, 5.655555555555556, 3.966666666666667, 
78, 1.0, 4.012345679012346, 14.333333333333334, 4.0, 6.308641975308642, 4.283950617283951, 
89, 1.0, 4.130434782608695, 19.391304347826086, 4.739130434782608, 7.231884057971015, 5.144927536231884, 
100, 1.0, 3.9076923076923076, 14.2, 5.2615384615384615, 7.538461538461538, 5.507692307692308, 
112, 1.0, 3.6774193548387095, 13.46774193548387, 5.790322580645161, 5.709677419354839, 5.419354838709677, 
